Query	gem07080s1v1	gem08095s1v1	gem11788s1v1	gem11802s1v1	gem11806s1v1	gem11804s1v1	Met7028_bin9	Met7034_bin2	Met8734_bin1	Met7045_bin12	Met7051_bin5	Met7056_bin5	Met8747_bin1	Met9023_bin5	Met8762_bin6	Met9029_bin2	Met9046_bin6	Met9054_bin3	Met9060_bin11	Met9070_bin2	Met9075_bin31	Met9055_bin21	Met9061_bin16	Met8764_bin15	Met9083_bin10	Met9087_bin5	Met7035_bin1	Met8794_bin4	Met8813_bin2	Met9106_bin1	Met9111_bin5	Met9123_bin26	Met9126_bin29
Met7051_bin5	96.9618	96.9651	96.9757	96.9739	96.9866	97.1745	97.3994	96.9834	98.6055	96.9914	100	97.158	99.8012	99.8652	98.8056	99.8494	99.0907	99.813	99.842	99.8598	99.8656	96.9152	98.5272	99.8373	98.5733	99.866	99.8625	99.8267	99.0546	99.8568	99.5245	97.0043	99.0458
Met7056_bin5	98.379	98.4265	98.3753	98.421	98.381	97.2309	96.9995	98.4107	96.4005	98.4299	96.7603	100	97.1081	97.0086	97.0845	97.0301	96.7408	97.0554	97.016	97.0236	97.0642	98.797	96.8969	97.0717	96.4686	97.026	97.0281	97.0405	96.658	97.0165	96.9772	98.3755	96.7745
Met8747_bin1	96.8233	96.8972	96.8413	96.9303	96.9175	97.2233	97.3811	96.8913	99.2042	96.8818	99.4139	97.0522	100	99.9937	99.1679	99.9816	99.5614	99.9538	99.9775	99.9862	99.9919	96.9376	98.583	99.968	99.2542	99.9919	99.9891	99.965	99.5205	99.9909	99.7931	96.8499	99.4523
Met9023_bin5	96.866	96.8411	96.8512	96.9145	96.8191	97.2534	97.3953	96.9004	99.3046	96.9153	99.4654	97.0664	99.929	100	99.1532	99.9568	99.5326	99.9501	99.9639	99.9804	99.9881	96.9116	98.5818	99.9444	99.3937	99.9898	99.9843	99.9415	99.6244	99.9728	99.8123	96.8087	99.5783
Met8762_bin6	97.54	97.5768	97.5593	97.5821	97.563	97.5725	97.5801	97.5455	98.2417	97.6038	98.9393	97.5449	99.6441	99.6932	100	99.6752	98.9578	99.6271	99.6593	99.6844	99.696	97.4388	98.5718	99.6679	98.497	99.6931	99.6972	99.6532	99.0428	99.6932	99.4049	97.5428	98.7164
Met9029_bin2	96.8863	96.8613	96.8446	96.8991	96.8588	97.2831	97.3985	96.873	99.2264	96.91	99.4461	97.0109	99.9558	99.9938	99.2269	100	99.5524	99.9425	99.9707	99.9914	99.9946	96.8719	98.6084	99.962	99.2904	99.9956	99.9956	99.9647	99.5869	99.989	99.8145	96.8003	99.5977
Met9046_bin6	96.7718	96.7767	96.7474	96.8523	96.7918	97.1626	97.3137	96.7752	98.5272	96.7564	99.1644	96.9823	99.9043	99.9853	98.8675	99.9561	100	99.9326	99.9486	99.9671	99.975	96.898	98.616	99.96	98.9546	99.9778	99.9904	99.9563	99.5148	99.9566	99.7008	96.715	99.2065
Met9054_bin3	96.8893	96.8228	96.8246	96.8697	96.8346	97.2672	97.4106	96.8809	99.1281	96.8672	99.3944	97.0519	99.9388	99.992	99.0705	99.9729	99.4801	100	99.9605	99.9906	99.9906	98.7951	96.8633	97.021	99.2711	99.9917	97.0057	97.0484	96.7475	99.9875	99.7819	96.7647	99.5467
Met9060_bin11	96.8557	96.8915	96.835	96.8883	96.8498	97.2263	97.3463	96.8909	99.2228	96.9297	99.5044	97.1087	99.9467	99.9957	99.3385	99.9762	99.556	99.9501	100	99.9906	99.9939	96.9355	98.6722	99.9676	99.2792	99.9943	99.9955	99.9684	99.5841	99.9872	99.8309	96.8658	99.5819
Met9070_bin2	96.8657	96.8626	96.8588	96.9117	96.8487	97.2106	97.3949	96.8265	99.2301	96.8914	99.4373	97.1072	99.9458	99.9936	99.2646	99.9779	99.5288	99.9519	99.9642	100	99.9962	96.912	98.6376	99.9726	99.3208	99.996	99.9957	99.9505	99.6471	99.9859	99.8087	96.7918	99.6533
Met9075_bin31	96.8182	96.8602	96.8108	96.9104	96.8448	97.2396	97.3822	96.8939	99.1908	96.8859	99.4679	97.0945	99.9461	99.9959	99.2445	99.9697	99.583	99.9442	99.9647	99.9929	100	96.9037	98.6511	99.9559	99.3768	99.9968	99.9948	99.954	99.5925	99.9803	99.8169	96.8095	99.6191
Met9055_bin21	98.2765	98.3539	98.1905	98.2973	98.372	97.0791	96.9066	98.4564	96.2001	98.4062	96.6049	98.7721	96.9034	96.7364	96.8889	96.8159	96.4583	96.795	96.7387	96.8283	96.8342	100	96.8452	96.8173	96.1509	96.8019	96.8373	96.8499	96.5402	96.8159	96.7566	98.3279	96.5584
Met9061_bin16	96.8345	96.8779	96.7997	96.8619	96.8314	97.303	97.3447	96.8872	97.836	96.9049	98.255	96.9145	98.6308	98.6545	98.0803	98.6718	98.2812	98.6257	98.6508	98.6802	98.6691	96.8383	100	98.6678	97.9334	98.6549	98.6914	98.6855	98.2042	98.6348	98.447	96.8524	98.2164
Met8764_bin15	96.8647	96.8905	96.8841	96.9219	96.8492	97.2259	97.3893	96.8849	99.0034	96.8717	99.4136	97.0278	99.9572	99.9947	99.2521	99.9789	99.592	99.9596	99.9728	99.9895	99.9817	96.9275	98.6754	100	99.3036	99.9819	99.993	99.9748	99.4533	99.9909	99.7748	96.7848	99.5976
Met9083_bin10	96.8317	96.8702	96.8427	96.8097	96.8634	97.1858	97.3446	96.8477	98.0834	96.7536	98.9456	97.0328	99.8399	99.9534	98.5854	99.9232	99.0721	99.8596	99.93	99.9537	99.9692	96.8653	98.6483	99.8885	100	99.9615	99.9521	99.9124	99.0198	99.9525	99.6251	96.7639	98.9612
Met9087_bin5	96.8878	96.8624	96.8729	96.8882	96.8787	97.2152	97.3648	96.8506	99.2239	96.8629	99.4751	97.0762	99.9509	99.9942	99.1527	99.9641	99.5757	99.9338	99.9592	99.9841	99.9772	96.8806	98.6398	99.9602	99.3176	100	99.985	99.9595	99.6051	99.9838	99.8201	96.8229	99.588
Met7035_bin1	96.8447	96.8993	96.8687	96.9109	96.8175	97.2738	97.3872	96.9	99.2066	96.9086	99.4844	97.0507	99.9548	99.9968	99.2268	99.9651	99.5754	99.9533	99.9678	99.9915	99.9949	96.972	98.6328	99.9577	99.3761	99.9939	100	99.9571	99.5495	99.9779	99.7922	96.8157	99.6241
Met8794_bin4	96.8965	96.8723	96.9108	96.9037	96.8587	97.2193	97.3747	96.9081	99.256	96.9003	99.48	97.0989	99.9682	99.9948	99.2812	99.9816	99.5435	99.9602	99.9757	99.9896	99.9948	96.8985	98.6258	99.9679	99.2756	99.9957	99.9905	100	99.5107	99.9929	99.8222	96.8342	99.567
Met8813_bin2	96.8286	96.7696	96.8287	96.8605	96.8001	97.2648	97.367	96.8347	98.7073	96.7837	99.13	97.0905	99.9508	99.9899	98.9709	99.9751	99.337	99.9267	99.9656	99.9871	99.9895	96.8879	98.6067	99.9506	98.7252	99.9896	99.9911	99.9352	100	99.9772	99.7257	96.7379	99.247
Met9106_bin1	96.8772	96.8606	96.8542	96.897	96.8747	97.2375	97.3969	96.8481	99.2237	96.8778	99.4774	97.0212	99.9381	99.9852	99.3088	99.9747	99.5894	99.9194	99.9649	99.9892	99.9961	96.9468	98.6635	99.9782	99.36	99.997	99.981	99.9686	99.5946	100	99.8225	96.797	99.5551
Met9111_bin5	96.8802	96.8628	96.8012	96.8852	96.8904	97.2884	97.4	96.7996	98.8585	96.8735	99.2809	97.1052	99.9125	99.9814	99.027	99.9634	99.4209	99.921	99.9496	99.9838	99.9835	96.8524	98.6276	99.9655	99.0298	99.9844	99.967	99.9509	99.4301	99.9766	100	96.8028	99.3852
Met9123_bin26	99.9116	99.884	99.9256	99.8799	99.8629	97.1701	96.8556	99.925	96.0787	99.9281	96.6157	98.3297	96.8607	96.7458	97.005	96.7634	96.3885	96.761	96.7817	96.8022	96.7744	98.3623	96.8493	96.7757	96.2612	96.7685	96.7941	96.8475	96.5087	96.772	96.6337	100	96.5156
Met9126_bin29	96.7668	96.8139	96.7778	96.8178	96.7242	97.2346	97.3402	96.6784	98.5847	96.7465	99.0258	97.0323	99.9034	99.9854	98.7847	99.9519	99.1434	99.8922	99.9478	99.966	99.9794	96.8451	98.631	99.94	98.5115	99.9804	99.9744	99.9485	99.2549	99.9815	99.7367	96.6724	100
